Date,Open,High,Low,Close,Volume
2008-01-04 00:00:00+09:00,2710.055015895678,2724.743660968283,2651.3004356052566,2702.710693359375,2989000
2008-01-07 00:00:00+09:00,2702.710396804379,2702.710396804379,2599.889892578125,2599.889892578125,4854000
2008-01-08 00:00:00+09:00,2599.889832076804,2599.889832076804,2519.102294921875,2519.102294921875,5378000
2008-01-09 00:00:00+09:00,2519.102531300804,2541.135498046875,2519.102531300804,2541.135498046875,5144000
2008-01-10 00:00:00+09:00,2541.1353187345517,2599.889892578125,2541.1353187345517,2599.889892578125,5418000
2008-01-11 00:00:00+09:00,2601.359353189166,2601.359353189166,2548.480224609375,2548.480224609375,5225000
2008-01-15 00:00:00+09:00,2548.4799401452237,2548.4799401452237,2445.659423828125,2445.659423828125,4320000
2008-01-16 00:00:00+09:00,2328.1504215389105,2357.5277139242594,2254.707190575538,2262.051513671875,4520000
2008-01-17 00:00:00+09:00,2262.051171875,2313.46142578125,2262.051171875,2313.46142578125,6900000
2008-01-18 00:00:00+09:00,2203.2966026893027,2313.461432823768,2199.6244416848203,2291.428466796875,6950000
2008-01-21 00:00:00+09:00,2192.2795803538984,2232.673341465947,2192.2795803538984,2210.640380859375,6909000
2008-01-22 00:00:00+09:00,2089.459266370182,2133.5251911442456,2089.459266370182,2107.820068359375,7007000
2008-01-23 00:00:00+09:00,2236.3464576299466,2236.3464576299466,2192.280517578125,2192.280517578125,5811000
2008-01-24 00:00:00+09:00,2193.015042094312,2247.363037109375,2193.015042094312,2247.363037109375,4237000
2008-01-25 00:00:00+09:00,2247.3628280639646,2350.183349609375,2247.3628280639646,2350.183349609375,3628000
2008-01-28 00:00:00+09:00,2325.947338456176,2325.947338456176,2181.26416015625,2181.26416015625,5164000
2008-01-29 00:00:00+09:00,2181.26390625,2203.296875,2181.26390625,2203.296875,4221000
2008-01-30 00:00:00+09:00,2203.296487742457,2203.296487742457,2129.853271484375,2129.853271484375,5025000
2008-01-31 00:00:00+09:00,2109.9282129798266,2129.853271484375,2109.9282129798266,2129.853271484375,4967000
2008-02-01 00:00:00+09:00,2129.853064903846,2148.2138671875,2129.853064903846,2148.2138671875,5119000
2008-02-04 00:00:00+09:00,2148.948396536228,2148.948396536228,2074.770751953125,2074.770751953125,5661000
2008-02-05 00:00:00+09:00,2072.5681317757867,2072.5681317757867,2027.0333251953125,2027.0333251953125,7568000
2008-02-06 00:00:00+09:00,2027.032739729789,2089.45947265625,2027.032739729789,2089.45947265625,12164000
2008-02-07 00:00:00+09:00,2089.4601249435323,2159.231201171875,2089.4601249435323,2159.231201171875,6783000
2008-02-08 00:00:00+09:00,2159.2312420099433,2159.2312420099433,2019.6890869140625,2019.6890869140625,6332000
2008-02-12 00:00:00+09:00,2019.6886327245215,2038.0494384765625,2019.6886327245215,2038.0494384765625,5123000
2008-02-13 00:00:00+09:00,2024.829607993072,2024.829607993072,1946.245361328125,1946.245361328125,4652000
2008-02-14 00:00:00+09:00,1942.5740003305807,2126.18212890625,1942.5740003305807,2126.18212890625,6658000
2008-02-15 00:00:00+09:00,2034.3769487653458,2056.409912109375,2019.6883065359932,2056.409912109375,7093000
2008-02-18 00:00:00+09:00,2064.4893578187666,2064.4893578187666,2060.082763671875,2060.082763671875,3944000
2008-02-19 00:00:00+09:00,2159.231201171875,2159.231201171875,2159.231201171875,2159.231201171875,8338000
2008-02-20 00:00:00+09:00,2137.1977192103554,2137.1977192103554,2118.8369140625,2118.8369140625,6721000
2008-02-21 00:00:00+09:00,2118.8372005886504,2118.8372005886504,2115.1650390625,2115.1650390625,5225000
2008-02-22 00:00:00+09:00,2115.1646760471203,2115.1646760471203,2104.148193359375,2104.148193359375,4404000
2008-02-25 00:00:00+09:00,2104.1485759988554,2155.558837890625,2104.1485759988554,2155.558837890625,5732000
2008-02-26 00:00:00+09:00,2199.6248409200953,2199.6248409200953,2192.280517578125,2192.280517578125,5587000
2008-02-27 00:00:00+09:00,2193.0147049096445,2298.77294921875,2193.0147049096445,2298.77294921875,5786000
2008-02-28 00:00:00+09:00,2299.5072210067356,2299.5072210067356,2291.428466796875,2291.428466796875,3851000
2008-02-29 00:00:00+09:00,2256.9105629874634,2256.9105629874634,2192.280517578125,2192.280517578125,3870000
2008-03-03 00:00:00+09:00,2192.2795943387578,2192.2795943387578,2034.376708984375,2034.376708984375,4485000
2008-03-04 00:00:00+09:00,2034.3772853163423,2034.3772853163423,2016.0164794921875,2016.0164794921875,5372000
2008-03-05 00:00:00+09:00,1983.701562271831,1983.701562271831,1964.6063232421875,1964.6063232421875,3506000
2008-03-06 00:00:00+09:00,2040.986597208512,2040.986597208512,2034.376708984375,2034.376708984375,4107000
2008-03-07 00:00:00+09:00,2012.344652961282,2023.3611382877125,1993.983844083898,1997.656005859375,3747000
2008-03-10 00:00:00+09:00,1960.9339599609375,1971.9504428820662,1949.9174770398085,1960.9339599609375,3781000
